ABI, Anheuser-Busch InBev SA/NV
ACKB, Ackermans & van Haaren NV
AEDEU, Aedifica SA
AGFB, AGFA-Gevaert NV
AGS, Ageas
ARGX, Argenx SE
BAR, Barco NV
BCART, Biocartis NV
BEFB, Befimmo SA
BEKB, Bekaert SA
BPOST, bpost SA
CFEB, Cie d'Entreprises CFE
COFB, Cofinimmo SA
COLR, Colruyt SA
CYAD, Celyad SA
DIE, D'ieteren SA-NV
ECONB, Econocom Group SA-NV
ELI1, Elia System Operator SA-NV
EURN, Euronav NV
EXM, Exmar NV
FAGR, Fagron
GBLB, Groupe Bruxelles Lambert SA
GIMB, Gimv NV
GREEN, Greenyard NV
IBAB, Ion Beam Applications
INTO, Intervest Offices & Warehouses NV
KBC, KBC Group NV
KBCA, KBC Ancora
KIN, Kinepolis Group NV
LOTB, Lotus Bakeries
MELE, Melexis NV
MITRA, Mithra Pharmaceuticals SA
OBEL, Orange Belgium SA
ONTEX, Ontex Group NV
PROX, Proximus SADP
REC1, Recticel SA
RET, Retail Estates NV
RTL, RTL Group SA
SIP, Sipef SA
SOF, Sofina SA
SOLB, Solvay SA
TESB, Tessenderlo Group SA
TNET, Telenet Group Holding NV
UCB, UCB SA
UMI, Umicore SA
VAN, Van de Velde NV
WDP, Warehouses De Pauw CVA
