AMBUB.DK, Ambu A-S
CARL.B.DK, Carlsberg A-S (Class B)
CHR.DK, Chr Hansen Holding A-S
COLO.B.DK, Coloplast A-S (Class B)
DANSKE.DK, Danske Bank A-S
DENERG.DK, Orsted A-S
DNORD.DK, D-S Norden A-S
DSV.DK, DSV PANALPINA A-S
FLS.DK, FLSmidth & Co A-S
GMAB.DK, Genmab A-S
GN.DK, GN Store Nord A-S
ISS.DK, ISS A-S
JYSK.DK, Jyske Bank A-S
LUN.DK, H Lundbeck A-S
MAERSK.A.DK, AP Moller - Maersk A-S (Class A)
NOVO.B.DK, Novo Nordisk A-S (Class B)
NZYM.B.DK, Novozymes A-S (Class B)
PNDOR.DK, Pandora A-S
RBREW.DK, Royal Unibrew A-S
ROCK.B.DK, ROCKWOOL International A-S (Class B)
SIM.DK, SimCorp A-S
SYDB.DK, Sydbank A-S
TRYG.DK, Tryg A-S
VWS.DK, Vestas Wind Systems A-S
WDH.DK, Demant A-S
ZEAL.DK, Zealand Pharma A-S
