AB, AB Science SA
ABCA, ABC arbitrage
ABIO, Albioma SA
AC, Accor SA.
ACA, Credit Agricole SA
ADP, Aeroports de Paris.
AF, Air France-KLM.
AI, Air Liquide SA.
AKAT, Akka Technologies
AKE, Arkema SA.
ALD1, ALD SA.
ALO, Alstom SA
ALTA, Altarea SCA.
AM, Dassault Aviation SA.
AMUN, Amundi SA.
ARG, ARGAN SA
ATA, Atari SA
ATE, Alten SA.
ATOSE, Atos SE.
AUB, Aubay
AVQ, Claranova
BB.FR, Societe BIC SA
BENU, Beneteau SA.
BIG1, Bigben Interactive
BIM, BioMerieux
BN, Danone SA
BNP, BNP Paribas SA
BOL, Bollore SA.
BON, Bonduelle SCA
BVI, Bureau Veritas SA.
CAP, Capgemini SE.
CARF, Carrefour SA.
CARM, Carmila.
CATG, Catana Group
CDA, Cie des Alpes
CDI, Christian Dior SE.
CGG, CGG SA
CNP, CNP Assurances.
CO, Casino Guichard Perrachon SA.
COFA, Coface SA.
COX, Nicox
CRI1, Chargeurs SA
CS.FR, AXA SA
DBG1, Derichebourg SA.
DBV, DBV Technologies SA
DEC, JC Decaux SA.
DG, Vinci SA.
DIM, Sartorius Stedim Biotech.
DSY, Dassault Systemes SE.
EDEN, Edenred.
EDF, Electricite de France SA.
EI, EssilorLuxottica SA
ELIOR, Elior Group SA.
ELIS, Elis SA.
EN, Bouygues SA.
ENGI, Engie SA.
ENX, Euronext NV
EO, Faurecia.
ERA, Eramet.
ETL, Eutelsat Communications SA.
EUCAR, EUROPCAR MOBILITY GROUP
FDJ, La Francaise des Jeux SAEM
FDR1, Covivio
FFP, FFP
FGR, Eiffage SA.
FII1, LISI.
FNAC, Fnac Darty SA.
FP, TOTAL SE
FR, Valeo SA.
GBT1, Guerbet
GDS, Ramsay Generale de Sante
GET, GETLINK SE
GFC, Gecina SA.
GLE, Societe Generale SA
GNFT, Genfit
GTT1, Gaztransport Et Technigaz SA.
HO, Thales SA.
ICAD, ICADE.
ILD, Iliad SA.
ING1, Ingenico Group SA
IPH, Innate Pharma SA
IPN, Ipsen SA.
IPS, IPSOS
ITP, Interparfums SA.
JCQ, Jacquet Metal Service
KER, Kering.
KN, Natixis SA.
KOF, Kaufman & Broad SA
KORI, Korian SA.
LAT, Ste Industrielle d'Aviation Latecoere SA
LI, Klepierre.
LOCAL, Solocal Group
LR, Legrand SA.
LSS, Lectra
MAU, Etablissements Maurel et Prom
MC, LVMH Moet Hennessy Louis Vuitton SE.
MDM, Maisons du Monde SA.
MERY, Mercialys SA.
MF, Wendel SA.
ML, Cie Generale des Etablissements Michelin.
MMB, Lagardere SCA.
MMT, Metropole Television SA.
MRN, Mersen SA
MTU1, Manitou BF SA.
NANOB, Nanobiotix
NEOEN, Neoen SA
NEXA, Nexans SA.
NK, Imerys SA.
NXI, Nexity SA.
OPN, Groupe Open
OR, L'Oreal SA
ORA, Orange SA
ORP, Orpea.
POM, Cie Plastic Omnium SA.
PUB, Publicis Groupe SA.
PVLT, Plastivaloire
RAL, Rallye SA
RBT, Robertet SA
RCF, Teleperformance
RCO, Remy Cointreau SA.
RF.FR, Eurazeo SE
RI, Pernod Ricard SA.
RIN, Vilmorin & Cie SA.
RMS, Hermes International.
RNO, Renault SA.
ROTH, Rothschild & Co.
RUI, Rubis SCA.
RXL, Rexel SA.
SAF, Safran SA.
SAN, Sanofi SA
SDG, Synergie SA.
SESL, SES-imagotag SA
SEV, Suez.
SGO, Cie de Saint-Gobain
SK, SEB SA.
SOFY, Somfy SA.
SOI, SOITEC.
SOP, Sopra Steria Group.
SPIE, SPIE SA.
STLA.FR, STELLANTIS NV
SU, Schneider Electric SE
SW, Sodexo SA.
TCH, Technicolor SA.
TFI, Television Francaise 1. TF1
TKO, Tikehau Capital SCA
TKTT, Tarkett SA.
TRI, Trigano SA
UBI, Ubisoft Entertainment SA.
VCT1, Vicat SA.
VIE, Veolia Environnement SA.
VIRP, Virbac SA
VIVI, Vivendi SA.
VK, Vallourec SA.
WLN, Worldline SA-France.
XFAB, X-Fab Silicon Foundries SE
