1COV, Covestro AG
2HRA, H&R GmbH & Co KGaA
8TRA.DE, Traton SE
AAD, Amadeus Fire AG
AAG, Aumann AG
ACX1, bet-at-home.com AG
ADJ, ADO Properties SA
ADL, ADLER Real Estate AG
ADS, Adidas AG
ADV, ADVA Optical Networking SE
AFX.DE, Carl Zeiss Meditec AG
AIR, Airbus Group SE
AIXA, AIXTRON SE
ALV, Allianz SE
AM3D, SLM Solutions Group AG
AOX, alstria office REIT-AG
ARL, Aareal Bank AG
B4B, METRO AG
BAS, BASF SE
BAYN, Bayer AG
BC8, Bechtle AG
BDT, Bertrandt AG
BEI, Beiersdorf AG
BFSA, Befesa SA
BIO3, Biotest AG
BMW, Bayerische Motoren Werke AG
BNR, Brenntag AG
BOSS, HUGO BOSS AG
BSL, Basler AG
BVB, Borussia Dortmund GmbH & Co KGaA
BYW6, BayWa AG WARENVERMIT
CAP1, Capital Stage AG
CBK, Commerzbank AG
CE2, CropEnergies AG
COK, CANCOM SE
CON, Continental AG
CWC, Cewe Stiftung & Co KGAA
DAI, Daimler AG
DBAN, Deutsche Beteiligungs AG
DBK, Deutsche Bank AG
DEQ, Deutsche EuroShop AG
DEZ, Deutz AG
DHER, Delivery Hero AG
DIC, DIC Asset AG
DPW, Deutsche Post AG
DRIH, 1&1 Drillisch
DRW3, Draegerwerk AG & Co KGaA- PREF
DTE, Deutsche Telekom AG
DUE, Duerr AG
DWNI, Deutsche Wohnen SE
DWS.DE, DWS Group GmbH & Co KGaA
ELG, Elmos Semiconductor AG
ENR.DE, Siemens Energy AG
EOAN, E.ON SE
EVD, CTS Eventim AG & Co KGaA
EVK, Evonik Industries AG
EVT, Evotec AG
FIE, Fielmann AG
FME, Fresenius Medical Care AG & Co KGaA
FNTN, Freenet AG
FPE, FUCHS PETROLUB SE
FPE3, FUCHS PETROLUB SE - PREF
FRA, Fraport AG Frankfurt Airport Services Worldwide
FRE, Fresenius SE & Co KGaA
FRU, Ferratum Oyj
G1A, GEA Group AG
G24, Scout24 AG
GBF, Bilfinger SE
GFT, GFT Technologies SE
GLJ, GRENKE AG
GXI, Gerresheimer AG
GYC, Grand City Properties SA
HAB, Hamborner REIT AG
HBH, Hornbach Holding AG & Co KGaA
HDD, Heidelberger Druckmaschinen AG
HEI, HeidelbergCement AG
HEN, Henkel AG & Co KGaA
HFG1, HelloFresh SE
HHFA, Hamburger Hafen und Logistik AG
HLAG, Hapag-Lloyd AG
HLE, Hella GmbH & Co KGaA
HNL, Dr Hoenle AG
HNR1, Hannover Rueck SE
HOT, HOCHTIEF AG
HYQ, Hypoport AG
IFX, Infineon Technologies AG
INH, Indus Holding AG
JEN, Jenoptik AG
JST, JOST Werke AG
JUN3, Jungheinrich AG
KBX.DE, Knorr-Bremse AG
KCO, Kloeckner & Co SE
KGX, KION Group AG
KRN, Krones AG
KSC, KPS AG
KU2, KUKA AG
KWS, KWS Saat SE
LEG, LEG Immobilien AG
LEO, Leoni AG
LHA, Deutsche Lufthansa AG
LIN, Linde PLC
LXS, LANXESS AG
MAN, MAN SE
MDG1, Medigene AG
MEO, CECONOMY AG
MOR, MorphoSys AG
MRK1, Merck KGaA
MTX1, MTU Aero Engines AG
MUV2, Muenchener Rueckversicherungs-Gesellschaft AG
MUX1, mutares AG
NDA1, Aurubis AG
NDX1, Nordex SE
NEMK, Nemetschek SE
NOEJ, Norma Group SE
O1BC, New Work SE
O2D, Telefonica Deutschland Holding AG
OHB, OHB SE
OSR, OSRAM Licht AG
PAH3, Porsche Automobil Holding SE
PBB, Deutsche Pfandbriefbank AG
PFV, Pfeiffer Vacuum Technology AG
PNE3, PNE Wind AG
PSM, ProSiebenSat.1 Media SE
PUM, Puma SE
QIA, QIAGEN NV
QSC, QSC AG
RAA, Rational AG
RHK, RHOEN-KLINIKUM AG
RHM, Rheinmetall AG
RIB, RIB Software SE
RKET, Rocket Internet SE
RWE, RWE AG
S92, SMA Solar Technology AG
SANT, S&T AG
SAP, SAP SE
SAX, Stroeer SE & Co KGaA
SBS, STRATEC Biomedical AG
SDF, K+S AG
SFQ, SAF-Holland SA
SGL, SGL Carbon SE
SHA, Schaeffler AG
SHF, SNP Schneider-Neureither & Partner SE
SHL.DE, Siemens Healthineers AG
SIE, Siemens AG
SIX2, Sixt SE
SIX3, Sixt SE
SKB, Koenig & Bauer AG
SMHN, SUESS MicroTec SE
SOW, Software AG
SRT3, Sartorius AG
STM2, Stabilus SA
SY1, Symrise AG
SZG, Salzgitter AG
SZU, Suedzucker AG
TC1, Tele Columbus AG
TEG, TAG Immobilien AG
TKA, Thyssenkrupp AG
TLG, TLG Immobilien AG
TLX, Talanx AG
TMV.DE, TeamViewer AG
TPE, PVA TePla AG
TTK, Takkt AG
TTR1, Technotrans AG
UN01, Uniper SE
UTDI, United Internet AG
VAR1, Varta AG
VBK, VERBIO Vereinigte BioEnergie AG
VBX, Voltabox AG
VNA, Vonovia SE
VOS, Vossloh AG
VOW, Volkswagen AG
VOW3, Volkswagen AG-PREF
WAC, Wacker Neuson SE
WCH, Wacker Chemie AG
WDI, Wirecard AG
WSU, Washtec AG
WUW, Wuestenrot & Wuerttembergische AG
ZAL, Zalando SE
ZIL2, ElringKlinger AG
ZO1, zooplus AG
