AALB, Aalberts Industries NV
ABN, ABN AMRO Group NV
ACCEL, Accell Group
ACOMO, Amsterdam Commodities NV
AD, Koninklijke Ahold Delhaize NV
ADYEN, ADYEN NV
AKZA, Akzo Nobel NV
AMG, AMG Advanced Metallurgical Group NV
ARCAD, Arcadis NV
ASM, ASM International NV
ASML, ASML Holding NV
ASRNL, ASR Nederland NV
BAMNB, Koninklijke BAM Groep NV
BBED, Beter Bed Holding NV
BESI, BE Semiconductor Industries NV
BFIT, Basic-Fit NV
BOKA, Boskalis Westminster
BRNL, Brunel International NV
CRBN, Corbion NV
DSM, Koninklijke DSM NV
ECMPA, Eurocommercial Properties NV
FFARM, ForFarmers NV
FLOW, Flow Traders
FUR, Fugro NV
GLPG, Galapagos NV
GVNV, GrandVision NV
HEIA, Heineken NV
HEIJM, Heijmans NV
HEIO, Heineken Holding NV
IMCD, IMCD Group NV
INGA, ING Groep NV
KENDR, Kendrion NV
KPN, Koninklijke KPN NV
LIGHT, Philips Lighting NV
N4R, NSI NV
NN, NN Group NV
OCI, OCI NV
ORDN, Ordina NV
PHARM, Pharming Group NV
PHIA, Koninklijke Philips NV
RAND, Randstad Holding NV
REN, RELX NV
SBMO, SBM Offshore NV
SIFG, SIF Holding NV
SLIGR, Sligro Food Group NV
TKWY, Takeaway.com NV
TOM2, TomTom NV
TWEKA, TKH Group NV
UNA, Unilever NV
URW, Unibail-Rodamco-Westfield
VASTN, Vastned Retail NV
VPK, Koninklijke Vopak NV
WHA, Wereldhave NV
WKL, Wolters Kluwer NV
