AKER, Aker ASA
AKERBP, Aker BP ASA
AKSO, Aker Solutions ASA
ATEA, Atea ASA
AUSS, Austevoll Seafood ASA
B2H, B2Holding ASA
BAKKA, Bakkafrost P-F
BRG, Borregaard ASA
BWLPG, BW LPG Ltd
BWO, BW Offshore Ltd
DNO, DNO ASA
ENTRA, Entra ASA
GJF, Gjensidige Forsikring ASA
GSF, Grieg Seafood ASA
KOA, Kongsberg Automotive ASA
MHG, Mowi ASA
NAS, Norwegian Air Shuttle ASA
NEL, NEL ASA
NHY, Norsk Hydro ASA
NOD, Nordic Semiconductor ASA
NOFI, Norwegian Finans Holding ASA
NRS, Norway Royal Salmon ASA
OCY, Ocean Yield ASA
ORK, Orkla ASA
PGS, Petroleum Geo-Services ASA
PROTCT, Protector Forsikring ASA
QEC, Questerre Energy Corp
SALM, Salmar ASA
SBANK, Sbanken ASA
SCHA, Schibsted ASA (Class A)
SCHB, Schibsted ASA (Class B)
SDRL, Seadrill Ltd
SNI, Stolt-Nielsen Ltd
SSO, Scatec Solar ASA
STL, EQUINOR ASA
SUBC, Subsea 7 SA
TGS, TGS NOPEC Geophysical Co ASA
TOM, Tomra Systems ASA
VEI, Veidekke ASA
WWASA, WALLENIUS WILHELMSEN ASA
XXL, XXL ASA
YAR, Yara International ASA
