A3M, Atresmedia Corp de Medios de Comunicacion SA
ACS, ACS Actividades de Construccion y Servicios SA
ACX, Acerinox SA
AEDAS, Aedas Homes SAU
AENA, Aena SME SA
ALB, Corp Financiera Alba SA
ALMSA, Almirall SA
AMS2.ES, Amadeus IT Group SA
ANA, Acciona SA
APPS, Applus Services SA
BBVA, Banco Bilbao Vizcaya Argentaria SA
BKIA, Bankia SA
BKT, Bankinter SA
CABK, CaixaBank SA
CAF, Construcciones y Auxiliar de Ferrocarriles SA
CASH2, Prosegur Cash SA
CLNX, Cellnex Telecom SA
COL, Inmobiliaria Colonial Socimi
DIA1, Distribuidora Internacional de Alimentacion SA
DOM1, Global Dominion Access SA
EBRO, Ebro Foods SA
EKT1, Euskaltel SA
ELE, Endesa SA
ENC, Ence Energia y Celulosa SA
ENG, Enagas SA
FAE, Faes Farma SA
FCC, Fomento de Construcciones y Contratas SA
FDR, Fluidra SA
FER, Ferrovial SA
GAM.ES, Siemens Gamesa Renewable Energy SA
GAS, Naturgy Energy Group SA
GCO, Grupo Catalana Occidente SA
GEST, Gestamp Automocion SA
GRF, Grifols SA
HOME, Neinor Homes SA
IBE, Iberdrola SA
IDR, Indra Sistemas SA
ITX, Industria de Diseño Textil SA
LBK, Liberbank SA
LOG, Cia de Distribucion Integral Logista Holdings SA
MAP, Mapfre SA
MEL, Melia Hotels International SA
MRL, Merlin Properties Socimi SA
NHH, NH Hotel Group SA
OHL, Obrascon Huarte Lain SA
PHMA, Pharma Mar SA
PSG, Prosegur Cia de Seguridad SA
REE, Red Electrica Corp SA
REP, Repsol SA
SAB2, Banco de Sabadell SA
SANES, Banco Santander SA
SCYR, Sacyr SA
TEF, Telefónica SA
TL5, Mediaset Espana Comunicacion SA
TLGO, Talgo SA
TRE, Tecnicas Reunidas SA
TUB, Tubacex SA
UNI2, Unicaja Banco SA
VID, Vidrala SA
VIS, Viscofan SA
ZOT, Zardoya Otis SA
