AAK, AAK AB
ADDT.B, AddTech AB
AF.B, AF AB
ALIF.B, AddLife AB
ALIG, Alimak Group AB
ALIVSDB, Autoliv Inc
AMBEA, Ambea AB
ANOD.B, AddNode Group AB
ARJOB, Arjo AB
ASSA.B, Assa Abloy AB
ATCO.A, Atlas Copco AB
ATORX, Alligator Bioscience AB
ATRLJ.B, Atrium Ljungberg AB
ATT, Attendo AB
AXFO, Axfood AB
AZA, Avanza Bank Holding AB
BEIA.B, Beijer Alma AB
BEIJ.B, Beijer Ref AB
BETS.B, Betsson AB
BILI.A, Bilia AB
BILL, BillerudKorsnas AB
BIOAB, BioArctic AB
BIOG.B, BioGaia AB
BIOT, Biotage AB
BMAX, Byggmax Group AB
BONAV.B, Bonava AB
BOOZT, Boozt AB
BRAV, Bravida Holding AB
BUFAB, Bufab AB
BURE, Bure Equity AB
CAMX, Camurus AB
CAST, Castellum AB
CATE, Catena AB
CEVI, Cellavision AB
CLA.B, Cloetta AB
CLAS.B, Clas Ohlson AB
COIC, Concentric AB
COOR, Coor Service Management Holding AB
CRED.A, Creades AB
DIOS, Dios Fastigheter AB
DUNI, Duni AB
EKTA.B, Elekta AB
ENQSE, EnQuest PLC (SEK)
ESSITY.B, Essity AB
EVO, Evolution Gaming Group AB
FABG, Fabege AB
FING.B, Fingerprint Cards AB
FNM, Ferronordic Machines AB
GETI.B, Getinge AB
GRNG, Granges AB
HEXA.B, Hexagon AB
HLDX, Haldex AB
HM.B, Hennes & Mauritz AB
HMS, HMS Networks AB
HOFI, Hoist Finance AB
HOLM.B, Holmen AB
HPOL.B, Hexpol AB
HUFV.A, Hufvudstaden AB (Class A)
HUSQ.A, Husqvarna AB
HUSQ.B, Husqvarna AB
ICA, ICA Gruppen AB
IJ, Intrum Justitia AB
INDT, Indutrade AB
INDU.A, Industrivarden AB
INDU.C, Industrivarden AB
INVE.A, Investor AB
INVE.B, Investor AB
INWI, Inwido AB
JM, JM AB
KARO, Karo Pharma AB
KINV.B, Kinnevik AB (Class B)
KLED, Kungsleden AB
KLOV.B, Klovern AB
KNOW, KNOW IT AB
LAGR.B, Lagercrantz Group AB (Class B)
LATOB, Investment AB Latour
LIAB, Lindab International AB
LIFCO.B, LIFCO AB-B SHS
LUMI, Lundin Mining Corp
LUND.B, L E Lundbergforetagen AB
MEKO, Mekonomen AB
MSON.B, Midsona AB
MTG.B, Modern Times Group MTG AB (Class B)
MTRS, Munters Group AB
MYCR, Mycronic AB
NCC.B, NCC AB
NETI.B, Net Insight AB
NEWA.B, New Wave Group AB
NOBI, Nobia AB
NOBINA, Nobina AB
NOLA.B, Nolato AB
OASM, Oasmia Pharmaceutical AB
ORES, Investment AB Oresund
ORX, Orexo AB
PEAB.B, Peab AB
PLAZ.B, Platzer Fastigheter Holding AB
PNDX.B, Pandox AB
RATO.B, Ratos AB (Class B)
RAY.B, RaySearch Laboratories AB
RESURS, Resurs Holding AB
SAAB.B, Saab AB
SAGA.B, Sagax AB (Class B)
SAGAD, Sagax AB (Class D)
SCA.A, Svenska Handelsbanken AB - PREF series A
SCA.B, Svenska Cellulosa AB SCA
SCST, Scandi Standard AB
SEB.A, Skandinaviska Enskilda Banken AB
SECTB, Sectra AB
SECU.B, Securitas AB
SHB.B, Svenska Handelsbanken AB
SHOT, Scandic Hotels Group AB
SKA.B, Skanska AB
SKF.B, SKF AB
SKIS.B, SkiStar AB
SOBI, Swedish Orphan Biovitrum AB
STER, Stora Enso OYJ
SWEC.B, Sweco AB (Class B)
SWED.A, Swedbank AB
SWMA, Swedish Match AB
TETY, Tethys Oil AB
THULE, Thule Group AB
TOBII, Tobii AB
TREL.B, Trelleborg AB
TROAX, Troax Group AB
UNIBSDB, Kindred Group PLC
VITR, Vitrolife AB
VOLV.A, Volvo AB
WALL.B, Wallenstam AB
WIHL, Wihlborgs Fastigheter AB
