888, 888 Holdings PLC
AA., AA PLC
AAL, Anglo American PLC
ABF, Associated British Foods PLC
ADM, Admiral Group PLC
AGK, Aggreko PLC
AHT, Ashtead Group PLC
ALFA, Alfa Financial Software Holdings PLC
AML, Aston Martin Lagonda Global Holdings PLC
ANTO, Antofagasta PLC
AO., AO World PLC
ARW1, Arrow Global Group PLC
ASCL, Ascential PLC
ASHM, Ashmore Group PLC
ATAD, Tatneft PJSC
AUTO, Auto Trader Group PLC
AV, Aviva PLC
AVON, Avon Rubber PLC
AVST, Avast Holdings
AVV, AVEVA Group PLC
AXB, Axis Bank Ltd
AZN.UK, AstraZeneca PLC
BAB, Babcock International Group PLC
BACT, Syncona Ltd
BAE, BAE Systems PLC
BAG, A.G. Barr PLC
BARC, Barclays PLC
BATS, British American Tobacco PLC
BBOX, Tritax Big Box REIT Plc
BDEV, Barratt Developments PLC
BEZ, Beazley PLC
BGEO, BGEO Group PLC
BIFF, Biffa PLC
BKG, Berkeley Group Holdings PLC
BLND, The British Land Co PLC
BLT, BHP Group PLC
BNKR, Bankers Investment Trust PLC-The
BNZL, Bunzl PLC
BOCH1, Bank of Cyprus Holdings PLC
BOY, Bodycote PLC
BP, BP PLC
BRBY, Burberry Group PLC
BRW, Brewin Dolphin Holdings PLC
BT, BT Group PLC
BVIC, Britvic PLC
BWY, Bellway PLC
BYG, Big Yellow Group PLC
CAPC, Capital & Counties Properties PLC
CARD, Card Factory PLC
CBKD, Commercial International Bank Egypt SAE
CCH, Coca-Cola HBC AG
CCL, Carnival PLC
CCPC, Computacenter PLC
CEY, Centamin PLC
CHG, Chemring Group PLC
CINE, Cineworld Group PLC
CKN, Clarkson PLC
CLSI, CLS Holdings PLC
CMCX, CMC Markets PLC
CNA, Centrica PLC
CNE, Cairn Energy PLC
COA, Coats Group PLC
COST1, Costain Group PLC
CPG, Compass Group PLC
CPI, Capita PLC
CREI, Custodian Reit PLC
CRST, Crest Nicholson Holdings plc
CSN, Chesnara PLC
CSP, Countryside Properties PLC
CTEC, ConvaTec Group PLC
CTY, City of London Investment Trust PLC-The
CWK, Cranswick PLC
DC, Dixons Carphone PLC
DCC, DCC PLC
DFSFU, DFS Furniture PLC
DGE, Diageo PLC
DLAR, De La Rue PLC
DLG, Direct Line Insurance Group PLC
DLN, Derwent London PLC
DNLM, Dunelm Group PLC
DPEU, DP Eurasia NV
DPH, Dechra Pharmaceuticals PLC
DPLM, Diploma PLC
DRX, Drax Group PLC
DTY, Dignity PLC
DVO, Devro PLC
ECM, Electrocomponents PLC
ELM, Elementis PLC
EMG, Man Group PLC
EQN, Equiniti Group PLC
ERM, Euromoney Institutional Investor PLC
ESP, Empiric Student Property PLC
EVRZ, Evraz PLC
EXPN, Experian PLC
EZJ, easyJet PLC
FCS, BMO Global Smaller Companies PLC
FCSS, Fidelity China Special Situations PLC
FDM, FDM Group Holdings PLC
FERG.UK, Ferguson PLC
FEV, Fidelity European Values PLC
FGP, Firstgroup PLC
FORT, Forterra PLC
FOUR, 4imprint Group PLC
FRES, Fresnillo PLC
FSJ, James Fisher & Sons PLC
FXPO, Ferrexpo PLC
GAW, Games Workshop Group PLC
GAZ, Gazprom Neft PJSC
GCP1, GCP Infrastructure Investments Ltd
GENL, Genel Energy Plc
GFRD, Galliford Try PLC
GFS.UK, G4S PLC
GFTU, Grafton Group PLC
GKP, Gulf Keystone Petroleum Ltd
GLEN, Glencore PLC
GLO, ContourGlobal PLC
GNCG, Greencore Group PLC
GNS, Genus PLC
GOCO, Gocompare.Com Group PLC
GOG, Go-Ahead Group PLC
GRG, Greggs PLC
GRI, Grainger PLC
GSK, GlaxoSmithKline PLC
GVC, GVC Holdings PLC
GYM, Gym Group PLC-The
HAS, Hays PLC
HEAD, Headlam Group PLC
HFD, Halfords Group PLC
HHPD, Hon Hai Precision Industry Co Ltd
HICL.UK, Hicl Infrastructure PLC
HIK, Hikma Pharmaceuticals PLC
HILS, Hill & Smith Holdings PLC
HL.UK, Hargreaves Lansdown PLC
HLCL, Helical PLC
HLMA, Halma PLC
HMSO, Hammerson PLC
HOC, Hochschild Mining PLC
HSBA, HSBC Holdings PLC
HSV, HomeServe PLC
HSW, Hostelworld Group Plc
HSX, Hiscox Ltd
HTG, Hunting PLC
HVPE, HarbourVest Global Private Equity Ltd
HWDN, Howden Joinery Group PLC
IAG, International Consolidated Airlines Group SA
IBST, Ibstock PLC
ICP, Intermediate Capital Group PLC
IGG, IG Group Holdings PLC
IHG, InterContinental Hotels Group PLC
III, 3i Group PLC
IMB, Imperial Brands PLC
IMI, IMI PLC
INCH, Inchcape PLC
INDV, Indivior PLC
INF, Informa PLC
INPP, International Public Partnerships Ltd
INVP, Investec PLC
IPF, International Personal Finance PLC
IPO, IP Group PLC
ITRK, Intertek Group PLC
ITV, ITV PLC
IWG, IWG PLC
JD., JD Sports Fashion PLC
JDW, J D Wetherspoon PLC
JLG, John Laing Group PLC
JMAT, Johnson Matthey PLC
JRP, Just Group PLC
KAZ, KAZ Minerals PLC
KGF, Kingfisher PLC
KIE, Kier Group PLC
KLR, Keller Group PLC
LAND, Land Securities Group PLC
LGEN, Legal & General Group PLC
LKOD, LUKOIL PJSC
LLOY, Lloyds Banking Group PLC
LMP, LondonMetric Property PLC
LNTA, Lenta Ltd
LRE, Lancashire Holdings Ltd
LSE, London Stock Exchange Group PLC
LTOD, Larsen & Toubro Ltd
LUCE, Luceco PLC
MAB, Mitchells & Butlers PLC
MAIL, Mail.Ru Group Ltd
MARS, Marston's PLC
MCRO, Micro Focus International PLC
MCS1, McCarthy & Stone PLC
MDC, Mediclinic International PLC
MGAM, Morgan Advanced Materials PLC
MGGT, Meggitt PLC
MGNS, Morgan Sindall Group PLC
MGNT, Magnit PJSC
MHID, Mahindra & Mahindra Ltd
MKS, Marks & Spencer Group PLC
MNDI, Mondi PLC
MNG.UK, M&G PLC
MNKS, Monks Investment Trust PLC-The
MNOD, MMC Norilsk Nickel PJSC
MNZS, John Menzies PLC
MONY, Moneysupermarket.com Group PLC
MRC1, Mercantile Investment Trust PLC
MRW, Wm Morrison Supermarkets PLC
MSLH, Marshalls PLC
MTO, Mitie Group PLC
MTRO, Metro Bank PLC
NCC, NCC Group PLC
NG, National Grid PLC
NLMK, Novolipetsk Steel PJSC
NRR, NewRiver REIT PLC
NVTK, Novatek PJSC
NWG, Natwest Group PLC
NXT, Next PLC
OCDO, Ocado Group PLC
OGZD, Gazprom PJSC
OTB, On the Beach Group PLC
OXB, Oxford Biomedica PLC
OXIG, Oxford Instruments PLC
PAGE, Pagegroup PLC
PAGN, Paragon Banking Group PLC
PCT, Polar Capital Technology Trust PLC
PETS, Pets at Home Group Plc
PFC, Petrofac Ltd
PFD, Premier Foods PLC
PFG, Provident Financial PLC
PHNX, Phoenix Group Holdings
PHOR, PhosAgro PJSC
PHP, Primary Health Properties PLC
PHTM, Photo-Me International PLC
PLP, Polypipe Group plc
PLUS500, Plus500 Ltd
PLZL, Polyus PJSC
PMO, Premier Oil PLC
PNLA, Personal Assets Trust PLC-Fund
PNN, Pennon Group PLC
POLY, Polymetal International PLC
PRTC, PureTech Health Plc
PRU, Prudential PLC
PSN, Persimmon PLC
PSON, Pearson PLC
PTEC, Playtech Plc
PZC, PZ Cussons PLC
QQ., QinetiQ Group PLC
RAT, Rathbone Brothers PLC
RB., Reckitt Benckiser Group PLC
RBS, Royal Bank of Scotland Group PLC
RCP, RIT Capital Partners PLC-Fund
RDI, RDI REIT PLC
RDSA, Royal Dutch Shell PLC
RDW, Redrow PLC
REL, RELX PLC
RGL, Regional REIT Ltd
RHIM, Rhi Magnesita NV
RIGD, Reliance Industries Ltd
RIO, Rio Tinto PLC
RMG, Royal Mail PLC
RMV, Rightmove PLC
