AAU, Almaden Minerals Ltd
AMPE, Ampio Pharmaceuticals Inc
ASGM, Avino Silver & Gold Mines Ltd
ATNM, Actinium Pharmaceuticals Inc
AUMN, Golden Minerals Co
AXU, Alexco Resource Corp
BDR, Blonder Tongue Laboratories Inc
BTG1, B2Gold Corp
CDOR, Condor Hospitality Trust Inc
CPHI, China Pharma Holdings Inc
CQP, Cheniere Energy Partners
CRHM, CRH Medical Corp
CRMD, CorMedix Inc
CVM, CEL-SCI Corp
DNN, Denison Mines Corp
DSS, Document Security Systems Inc
EMAN, eMagin Corp
EMX, EMX Royalty Corp
ENSV, Enservco Corp
EPM, Evolution Petroleum Corp
FSP, Franklin Street Properties Corp
FURY, Fury Gold
GMO, General Moly Inc
GORO, Gold Resource Corp
GPL, Great Panther Silver Ltd
GSAT, Globalstar Inc
GSS, Golden Star Resources Ltd
GSV, Gold Standard Ventures Corp
GTE, Gran Tierra Energy Inc
GV, Goldfield Corp-The
HUSA, Houston American Energy Corp
IBIO, iBio Inc
IGC, India Globalization Capital Inc
IMO, Imperial Oil Ltd
INTT, inTEST Corp
ISR1, IsoRay Inc
LLEX, Lilis Energy Inc
LNG, Cheniere Energy Inc
LODE, Comstock Mining Inc
MAG, MAG Silver Corp
MCF, Contango Oil & Gas Co
MTNB, Matinas BioPharma Holdings Inc
MYO, Myomo Inc
NAK, Northern Dynasty Minerals Ltd
NAVB, Navidea Biopharmaceuticals Inc
NGD, New Gold Inc
NGR, Novagold Resources Inc
NHC, National HealthCare Corp
NXE, NexGen Energy Ltd
OCX, OncoCyte Corp
PED, PEDEVCO Corp
PLG, Platinum Group Metals Ltd
PLM, PolyMet Mining Corp
PTN, Palatin Technologies Inc
REI, Ring Energy Inc
RHE, Regional Health Properties Inc
RLGT, Radiant Logistics Inc
RVP, Retractable Technologies Inc
SENSH, Senseonics Holdings Inc
SVM, Silvercorp Metals Inc
SYN, Synthetic Biologics Inc
TGB, Taseko Mines Ltd
THM, International Tower Hill Mines Ltd
TMBR, Timber Pharmaceuticals Inc
TMP, Tompkins Financial Corp
TMQ, Trilogy Metals Inc
TRXC, TransEnterix Inc
UEC, Uranium Energy Corp
URG, Ur-Energy Inc
UUUU, Energy Fuels Inc-Canada
VGZ, Vista Gold Corp
VHC, VirnetX Holding Corp
VNRX, VolitionRX Ltd
WYY, WidePoint Corp
XPL, Solitario Zinc Corp
XXII, 22nd Century Group Inc
